name,distance,moving_time,start_date_local,total_elevation_gain,type,average_heartrate,max_heartrate,average_speed,max_speed,date,hour,weekday,week,month,year,distance_km,moving_time_min,pace,pace_zone,time_of_day
EVO SL 개시런,15010.6,4592,2026-01-24 15:25:03+00:00,29.0,Run,144.9,167.0,3.269,11.34,2026-01-24,15,Saturday,4,1,2026,15.0106,76.53333333333333,5.098619197988977,⚡ Tempo (4:30-5:30),☀️ Afternoon
트레드밀 러닝,10010.9,3159,2026-01-22 07:40:58+00:00,0.0,Run,122.3,154.0,3.169,4.0,2026-01-22,7,Thursday,4,1,2026,10.0109,52.65,5.259267398535596,⚡ Tempo (4:30-5:30),🌅 Morning
트레드밀 러닝,12008.0,3809,2026-01-21 18:14:49+00:00,0.0,Run,126.6,143.0,3.153,3.88,2026-01-21,18,Wednesday,4,1,2026,12.008,63.483333333333334,5.286753275594049,⚡ Tempo (4:30-5:30),🌙 Evening
1600 x 5set,10000.7,2744,2026-01-19 20:20:20+00:00,0.0,Run,163.4,177.0,3.645,5.08,2026-01-19,20,Monday,4,1,2026,10.0007,45.733333333333334,4.573013222407765,⚡ Tempo (4:30-5:30),🌙 Evening
러닝,821.1,300,2026-01-19 19:59:40+00:00,1.0,Run,129.1,140.0,2.737,3.1,2026-01-19,19,Monday,4,1,2026,0.8211,5.0,6.08939227865059,🏃 Easy (5:30-6:30),🌙 Evening
트데 35 빌드업,35085.7,11859,2026-01-18 08:35:46+00:00,162.0,Run,138.5,171.0,2.959,4.06,2026-01-18,8,Sunday,3,1,2026,35.085699999999996,197.65,5.6333491992464175,🏃 Easy (5:30-6:30),🌅 Morning
러닝,10310.4,3801,2026-01-17 16:43:25+00:00,13.0,Run,126.7,137.0,2.713,6.88,2026-01-17,16,Saturday,3,1,2026,10.3104,63.35,6.144281502172564,🏃 Easy (5:30-6:30),☀️ Afternoon
"[TD] 2000m x 6set (101"")",13809.7,4031,2026-01-15 20:18:03+00:00,0.0,Run,154.4,167.0,3.426,5.24,2026-01-15,20,Thursday,3,1,2026,13.809700000000001,67.18333333333334,4.864937930102271,⚡ Tempo (4:30-5:30),🌙 Evening
러닝,1240.5,404,2026-01-15 20:00:09+00:00,0.0,Run,137.1,146.0,3.071,4.4,2026-01-15,20,Thursday,3,1,2026,1.2405,6.733333333333333,5.4279188499261055,⚡ Tempo (4:30-5:30),🌙 Evening
러닝,13802.1,4967,2026-01-14 18:37:52+00:00,51.0,Run,127.9,149.0,2.779,6.32,2026-01-14,18,Wednesday,3,1,2026,13.802100000000001,82.78333333333333,5.997879549730355,🏃 Easy (5:30-6:30),🌙 Evening
러닝,12185.5,3928,2026-01-12 11:45:59+00:00,36.0,Run,140.4,162.0,3.102,4.74,2026-01-12,11,Monday,3,1,2026,12.1855,65.46666666666667,5.372505573564209,⚡ Tempo (4:30-5:30),🌅 Morning
러닝,22833.8,7175,2026-01-11 09:05:33+00:00,62.0,Run,146.5,164.0,3.182,4.46,2026-01-11,9,Sunday,2,1,2026,22.8338,119.58333333333333,5.23711924135857,⚡ Tempo (4:30-5:30),🌅 Morning
트레드밀 러닝,15023.5,4678,2026-01-08 18:10:05+00:00,0.0,Run,124.6,151.0,3.212,4.06,2026-01-08,18,Thursday,2,1,2026,15.0235,77.96666666666667,5.189647330293651,⚡ Tempo (4:30-5:30),🌙 Evening
트레드밀 러닝,10043.0,3211,2026-01-07 11:52:29+00:00,0.0,Run,126.4,150.0,3.128,3.78,2026-01-07,11,Wednesday,2,1,2026,10.043,53.516666666666666,5.3287530286435,⚡ Tempo (4:30-5:30),🌅 Morning
3000 x 5,15817.9,4389,2026-01-05 20:17:58+00:00,0.0,Run,148.2,170.0,3.604,4.88,2026-01-05,20,Monday,2,1,2026,15.8179,73.15,4.624507678010356,⚡ Tempo (4:30-5:30),🌙 Evening
러닝,1332.4,477,2026-01-05 20:00:36+00:00,3.0,Run,129.1,142.0,2.793,3.96,2026-01-05,20,Monday,2,1,2026,1.3324,7.95,5.96667667367157,🏃 Easy (5:30-6:30),🌙 Evening
트데 LSD,30386.8,10087,2026-01-04 09:20:01+00:00,85.0,Run,142.7,158.0,3.012,3.94,2026-01-04,9,Sunday,1,1,2026,30.3868,168.11666666666667,5.532555802738909,🏃 Easy (5:30-6:30),🌅 Morning
러닝,11466.1,3957,2026-01-03 16:22:33+00:00,19.0,Run,129.8,141.0,2.898,5.62,2026-01-03,16,Saturday,1,1,2026,11.4661,65.95,5.75173773122509,🏃 Easy (5:30-6:30),☀️ Afternoon
